Title,Description,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Desperate Housewives,"Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.",45,"Comedy, Drama, Mystery","Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria",7.5,118588,2004–2012
American Dad!,"The random escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe, all in the most absurd way possible.",22,"Animation, Comedy","Seth MacFarlane, Wendy Schaal, Scott Grimes, Rachael MacFarlane",7.3,118581,2005–
Smallville,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",60,"Adventure, Drama, Romance","Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk",7.5,118498,2001–2011
Taboo,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost - even murder.",59,"Drama, Mystery, Thriller","Tom Hardy, David Hayman, Jonathan Pryce, Oona Chaplin",8.4,118277,2017–
Iron Fist,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,55,"Action, Adventure, Crime","Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey",6.5,117507,2017–2018
The Expanse,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",60,"Drama, Mystery, Sci-Fi","Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo",8.5,117294,2015–
"Love, Death & Robots","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",15,"Animation, Short, Comedy","Scott Whyte, Nolan North, Steven Pacey, ""Emily OBrien""",8.5,116592,2019–
Fear the Walking Dead,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",44,"Drama, Horror, Sci-Fi","Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades",6.9,116481,2015–
This Is Us,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",45,"Comedy, Drama, Romance","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",8.7,114515,2016–2022
Supergirl,The adventures of Superman's cousin in her own superhero career.,43,"Action, Adventure, Drama","Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks",6.2,114304,2015–2021
Revenge,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.,44,"Drama, Mystery, Thriller","Madeleine Stowe, Emily VanCamp, Gabriel Mann, Nick Wechsler",7.8,114140,2011–2015
Penny Dreadful,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.",60,"Drama, Fantasy, Horror","Josh Hartnett, Timothy Dalton, Eva Green, Reeve Carney",8.2,114096,2014–2016
30 Rock,"Liz Lemon, head writer of the sketch comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind.",22,Comedy,"Tina Fey, Alec Baldwin, Tracy Morgan, Jack McBrayer",8.2,113479,2006–2013
Lie to Me,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies.",43,"Crime, Drama, Mystery","Tim Roth, Kelli Williams, Brendan Hines, Monica Raymund",8,112830,2009–2011
Fleabag,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,27,"Comedy, Drama","Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford",8.7,112732,2016–2019
Grimm,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,45,"Crime, Drama, Fantasy","David Giuntoli, Russell Hornsby, Silas Weir Mitchell, Sasha Roiz",7.8,110832,2011–2017
Top Gear,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",60,"Adventure, Comedy, Reality-TV","Jeremy Clarkson, Richard Hammond, James May, The Stig",8.6,110422,2002–
The Legend of Korra,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,23,"Animation, Action, Adventure","Janet Varney, P.J. Byrne, David Faustino, J.K. Simmons",8.4,107996,2012–2014
The Newsroom,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,Drama,"Jeff Daniels, Emily Mortimer, John Gallagher Jr., Alison Pill",8.6,106526,2012–2014
Weeds,"When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is.",28,"Comedy, Crime, Drama","Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon",7.9,103567,2005–2012
Orphan Black,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,44,"Action, Drama, Sci-Fi","Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard",8.3,103454,2013–2017
Elementary,"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.",60,"Crime, Drama, Mystery","Jonny Lee Miller, Lucy Liu, Aidan Quinn, Jon Michael Hill",7.9,102871,2012–2019
Under the Dome,"An invisible and mysterious force field descends upon a small actual town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too.",43,"Drama, Mystery, Sci-Fi","Mike Vogel, Rachelle Lefevre, Alexander Koch, Colin Ford",6.6,102152,2013–2015
The Office,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,30,"Comedy, Drama","Ricky Gervais, Martin Freeman, Mackenzie Crook, Lucy Davis",8.5,101436,2001–2003
The Killing,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",45,"Crime, Drama, Mystery","Mireille Enos, Joel Kinnaman, Billy Campbell, Liam James",8.2,101067,2011–2014
Bodyguard,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,60,"Crime, Drama, Thriller","Richard Madden, Sophie Rundle, Vincent Franklin, Ash Tandon",8.1,100781,2018
Star Trek: Discovery,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",60,"Action, Adventure, Drama","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",7.2,99850,2017–
Bates Motel,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.",45,"Drama, Horror, Mystery","Vera Farmiga, Freddie Highmore, Max Thieriot, Nicola Peltz",8.1,99205,2013–2017
Broadchurch,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",48,"Crime, Drama, Mystery","David Tennant, Olivia Colman, Jodie Whittaker, Andrew Buchan",8.4,98982,2013–2017
Deadwood,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",55,"Crime, Drama, History","Timothy Olyphant, Ian McShane, Molly Parker, Brad Dourif",8.6,96852,2004–2006
My Name Is Earl,"A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization.",22,Comedy,"Jason Lee, Ethan Suplee, Jaime Pressly, Nadine Velazquez",7.7,96739,2005–2009
Black Sails,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""",56,"Adventure, Drama","Jessica Parker Kennedy, Toby Stephens, Hannah New, Zach McGowan",8.2,95683,2014–2017
The Sinner,Anthology series that examines how and why ordinary people commit brutal crimes.,45,"Crime, Drama, Mystery","Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel",7.9,95316,2017–
Jack Ryan,"An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.",60,"Action, Drama, Thriller","John Krasinski, Wendell Pierce, John Hoogenakker, Abbie Cornish",8.1,95243,2018–
Misfits,"A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers.",60,"Comedy, Drama, Fantasy","Nathan Stewart-Jarrett, Joe Gilgun, Iwan Rheon, Lauren Socha",8.2,95011,2009–2013
Legends of Tomorrow,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",42,"Action, Adventure, Drama","Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Brandon Routh",6.8,94463,2016–
The OA,"Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous.",60,"Drama, Fantasy, Mystery","Brit Marling, Jason Isaacs, Scott Wilson, Alice Krige",7.8,93584,2016–2019
The Last Kingdom,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",60,"Action, Drama, History","Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady",8.4,91987,2015–
Naruto: Shippûden,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",24,"Animation, Action, Adventure","Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura",8.6,91846,2007–2017
2 Broke Girls,Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash.,22,Comedy,"Kat Dennings, Beth Behrs, Garrett Morris, Jonathan Kite",6.6,91834,2011–2017
Killing Eve,"After a series of events, the lives of a security operative and an assassin become inextricably linked.",42,"Action, Adventure, Drama","Jodie Comer, Sandra Oh, Fiona Shaw, Kim Bodnia",8.2,91713,2018–2022
The Man in the High Castle,"In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes.",60,"Drama, Sci-Fi, Thriller","Alexa Davalos, Luke Kleintank, Rufus Sewell, Rupert Evans",8,90559,2015–2019
Banshee,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania; where he has some unfinished business.",60,"Action, Crime, Drama","Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison",8.4,90222,2013–2016
After Life,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm.",30,"Comedy, Drama","Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",8.4,90191,2019–
Leyla ile Mecnun,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",nan,"Adventure, Comedy, Drama","Ali Atay, Ahmet Mümtaz Taylan, Serkan Keskin, Osman Sonant",9.1,90185,2011–2021
Justified,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44,"Action, Crime, Drama","Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts",8.6,88999,2010–2015
Making a Murderer,A trio of women form a musical group in Atlanta.,57,"Documentary, Crime","Steven Avery, Dolores Avery, Laura Nirider, Kathleen Zellner",8.6,88426,2015–2018
The Fall,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.,60,"Crime, Drama, Thriller","Gillian Anderson, Jamie Dornan, John Lynch, Aisling Franciosi",8.1,87921,I 2013–2016
The Americans,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family.",44,"Crime, Drama, Mystery","Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor",8.4,87570,2013–2018
Psych,"A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.",44,"Comedy, Crime, Mystery","James Roday Rodriguez, Dulé Hill, Timothy Omundson, Corbin Bernsen",8.3,87200,2006–2014
Falling Skies,Survivors of an alien attack on earth gather together to fight for their lives and fight back.,30,"Action, Adventure, Drama","Noah Wyle, Drew Roy, Maxim Knight, Will Patton",7.2,86071,2011–2015
The Marvelous Mrs. Maisel,A housewife in 1958 decides to become a stand-up comic.,57,"Comedy, Drama","Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle",8.7,85702,2017–
Schitt's Creek,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",22,Comedy,"Eugene Levy, ""Catherine OHara"", Dan Levy, Annie Murphy",8.5,84920,2015–2020
The Following,"A brilliant and charismatic, yet psychotic serial killer communicates with other active serial killers and activates a cult of believers following his every command.",11,"Crime, Drama, Horror","Kevin Bacon, James Purefoy, Shawn Ashmore, Valorie Curry",7.4,84371,2013–2015
Legion,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever.",60,"Action, Drama, Sci-Fi","Dan Stevens, Rachel Keller, Aubrey Plaza, Bill Irwin",8.2,84173,2017–2019
The Leftovers,"Three years after the disappearance of two percent of the global population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.",60,"Drama, Fantasy, Mystery","Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler",8.3,83870,2014–2017
The O.C.,"A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.",44,"Comedy, Drama, Romance","Mischa Barton, Adam Brody, Peter Gallagher, Kelly Rowan",7.5,82800,2003–2007
American Crime Story,An anthology series centered around America's most notorious crimes and criminals.,42,"Biography, Crime, Drama","Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi",8.4,82138,2016–
The Inbetweeners,Follows four friends and their antics during their final years of school.,25,Comedy,"Simon Bird, James Buckley, Blake Harrison, Joe Thomas",8.4,81623,2008–2010
Last Week Tonight with John Oliver,Former Daily Show host and correspondent,42,"Comedy, News, Talk-Show","John Oliver, David Kaye, Ryan Barger, Noel MacNeal",8.9,81348,2014–
Revolution,"Fifteen years after a permanent global blackout, a group of revolutionaries seeks to drive out an occupying force posing as the United States Government.",24,"Action, Adventure, Drama","Billy Burke, Tracy Spiridakos, Giancarlo Esposito, Zak Orth",6.7,81337,2012–2014
Chilling Adventures of Sabrina,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",60,"Drama, Fantasy, Horror","Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo",7.5,81264,2018–2020
Terra Nova,"Centers on the Shannons, an ordinary family from 2149 when the planet is dying, who are transported back 85 million years to prehistoric Earth where they join Terra Nova, a colony of humans with a second chance to build a civilization.",60,"Adventure, Drama, Mystery","""Jason OMara"", Shelley Conn, Christine Adams, Allison Miller",6.8,80681,2011
Designated Survivor,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,60,"Action, Drama, Mystery","Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn",7.5,80308,2016–2019
Adventure Time,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",11,"Animation, Action, Adventure","John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch",8.6,79973,2010–2018
Gravity Falls,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23,"Animation, Adventure, Comedy","Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini",8.9,79551,2012–2016
Sacred Games,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",50,"Action, Crime, Drama","Saif Ali Khan, Nawazuddin Siddiqui, Neeraj Kabi, Elnaaz Norouzi",8.6,79193,2018–2019
American Gods,"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past.",60,"Drama, Fantasy, Mystery","Ricky Whittle, Emily Browning, Yetide Badaki, Bruce Langley",7.7,79190,2017–2021
Ray Donovan,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.",60,"Crime, Drama","Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall",8.3,78845,2013–2020
Naruto,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",24,"Animation, Action, Adventure","Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura",8.3,76888,2002–2007
Skins,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.,46,Drama,"Kaya Scodelario, Nicholas Hoult, Joe Dempsie, Hannah Murray",8.2,76499,2007–2013
The Strain,A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.,43,"Drama, Fantasy, Horror","Corey Stoll, David Bradley, Kevin Durand, Jonathan Hyde",7.3,76302,2014–2017
Agent Carter,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis.",42,"Action, Adventure, Sci-Fi","Hayley Atwell, ""James DArcy"", Enver Gjokaj, Chad Michael Murray",7.9,75466,2015–2016
Lost in Space,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers.",60,"Adventure, Drama, Family","Maxwell Jenkins, Molly Parker, Toby Stephens, Taylor Russell",7.3,75441,2018–
Merlin,"These are the brand new adventures of Merlin, the legendary sorcerer as a young man, when he was just a servant to young Prince Arthur on the royal court of Camelot, who has soon become his best friend, and turned Arthur into a great king and a legend.",45,"Adventure, Drama, Fantasy","John Hurt, Colin Morgan, Bradley James, Richard Wilson",7.9,75300,2008–2012
Louie,"The life of Louie C.K., a divorced comedian living in New York with two kids.",26,"Comedy, Drama","Louis C.K., Hadley Delany, Ursula Parker, Pamela Adlon",8.5,75197,2010–2015
Da Vinci's Demons,"Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future.",60,"Adventure, Biography, Drama","Tom Riley, Gregg Chillin, Eros Vlahos, Laura Haddock",8,74175,2013–2015
The Shield,Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.,47,"Crime, Drama, Thriller","Michael Chiklis, Catherine Dent, Walton Goggins, Michael Jace",8.7,73531,2002–2008
One Tree Hill,"Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",60,"Drama, Romance, Sport","Chad Michael Murray, James Lafferty, Hilarie Burton, Bethany Joy Lenz",7.7,73211,2003–2012
Billions,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",60,Drama,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile",8.4,72721,2016–
Euphoria,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.",55,Drama,"Zendaya, Hunter Schafer, Jacob Elordi, Maude Apatow",8.4,71996,2019–
Russian Doll,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.,30,"Adventure, Comedy, Drama","Natasha Lyonne, Charlie Barnett, Sharlto Copley, Annie Murphy",7.9,70835,2019–
Titans,A team of young superheroes combat evil and other perils.,45,"Action, Adventure, Crime","Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter",7.7,70823,I 2018–
The Tudors,A dramatic series about the reign and marriages of King Henry VIII.,60,"Drama, History, Romance","Jonathan Rhys Meyers, Henry Cavill, Anthony Brophy, James Frain",8.1,69957,2007–2010
Star Wars: The Clone Wars,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,23,"Animation, Action, Adventure","Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",8.3,69586,2008–2020
Master of None,"The personal and professional life of Dev, a 30-year-old actor in New York.",30,"Comedy, Drama","Aziz Ansari, Eric Wareheim, Lena Waithe, Noël Wells",8.3,69540,2015–
Lupin,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",,"Action, Crime, Drama",Omar Sy,7.5,135000,2021-
